2017-05-29 08:43:28,368 INFO  [org.hibernate.validator.internal.util.Version:30] (MSC service thread 1-2) HV000001: Hibernate Validator 5.2.4.Final
2017-05-29 08:43:28,501 INFO  [org.jboss.as.ejb3.deployment:192] (MSC service thread 1-2) WFLYEJB0473: JNDI bindings for session bean named 'MonitoringREST' in deployment unit 'deployment "weather.war"' are as follows:

	java:global/weather/MonitoringREST!com.weather.MonitoringREST
	java:app/weather/MonitoringREST!com.weather.MonitoringREST
	java:module/MonitoringREST!com.weather.MonitoringREST
	java:global/weather/MonitoringREST
	java:app/weather/MonitoringREST
	java:module/MonitoringREST

2017-05-29 08:43:28,688 INFO  [org.infinispan.configuration.cache.EvictionConfigurationBuilder:114] (ServerService Thread Pool -- 69) ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated.
2017-05-29 08:43:28,689 INFO  [org.infinispan.configuration.cache.EvictionConfigurationBuilder:114] (ServerService Thread Pool -- 69) ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated.
2017-05-29 08:43:28,809 INFO  [org.jboss.weld.Version:153] (MSC service thread 1-4) WELD-000900: 2.3.5 (Final)
2017-05-29 08:43:29,239 INFO  [org.jboss.as.jpa:144] (ServerService Thread Pool -- 69) WFLYJPA0010: Starting Persistence Unit (phase 2 of 2) Service 'weather.war#postgreLocalDS'
2017-05-29 08:43:29,358 INFO  [org.jboss.as.clustering.infinispan:130] (ServerService Thread Pool -- 67) WFLYCLINF0002: Started client-mappings cache from ejb container
2017-05-29 08:43:29,585 INFO  [org.hibernate.dialect.Dialect:157] (ServerService Thread Pool -- 69) HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL9Dialect
2017-05-29 08:43:29,730 INFO  [org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl:124] (ServerService Thread Pool -- 69) HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-05-29 08:43:29,735 INFO  [org.hibernate.type.BasicTypeRegistry:148] (ServerService Thread Pool -- 69) HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@2c7f1a5d
2017-05-29 08:43:29,762 INFO  [org.hibernate.envers.boot.internal.EnversServiceImpl:92] (ServerService Thread Pool -- 69) Envers integration enabled? : true
2017-05-29 08:43:29,968 INFO  [org.hibernate.internal.SessionFactoryRegistry:89] (ServerService Thread Pool -- 69) HHH000094: Bound factory to JNDI name: java:/postgreLocalDSFactory
2017-05-29 08:43:31,515 INFO  [org.wildfly.extension.undertow:189] (ServerService Thread Pool -- 69) WFLYUT0021: Registered web context: /weather
2017-05-29 08:43:31,619 INFO  [org.jboss.as.server:141] (ServerService Thread Pool -- 36) WFLYSRV0010: Deployed "weather.war" (runtime-name : "weather.war")
2017-05-29 08:43:31,764 INFO  [org.jboss.as:159] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://0.0.0.0:9990/management
2017-05-29 08:43:31,764 INFO  [org.jboss.as:161] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://0.0.0.0:9990
2017-05-29 08:43:31,764 INFO  [org.jboss.as:109] (Controller Boot Thread) WFLYSRV0025: WildFly Full 10.1.0.Final (WildFly Core 2.2.0.Final) started in 12141ms - Started 508 of 746 services (424 services are lazy, passive or on-demand)
